import time: self [us] | cumulative | imported package
import time:       539 |        539 |   _io
import time:        30 |         30 |   marshal
import time:       188 |        188 |   posix
import time:       349 |       1105 | _frozen_importlib_external
import time:       492 |        492 |   time
import time:        67 |        558 | zipimport
import time:        79 |         79 |     _codecs
import time:       154 |        232 |   codecs
import time:       495 |        495 |   encodings.aliases
import time:       645 |       1371 | encodings
import time:       248 |        248 | encodings.utf_8
import time:        61 |         61 | _signal
import time:        15 |         15 |     _abc
import time:        75 |         90 |   abc
import time:        89 |        178 | io
import time:        29 |         29 |       _stat
import time:        30 |         58 |     stat
import time:       479 |        479 |     _collections_abc
import time:        25 |         25 |       genericpath
import time:        33 |         58 |     posixpath
import time:       179 |        773 |   os
import time:        35 |         35 |   _sitebuiltins
import time:       309 |        309 |   encodings.utf_8_sig
import time:       550 |        550 |   _virtualenv
import time:       320 |        320 |   _distutils_hack
import time:       288 |        288 |         types
import time:        44 |         44 |           _operator
import time:       522 |        565 |         operator
import time:       108 |        108 |             itertools
import time:       198 |        198 |             keyword
import time:       235 |        235 |             reprlib
import time:        36 |         36 |             _collections
import time:       636 |       1211 |           collections
import time:        28 |         28 |           _functools
import time:       517 |       1755 |         functools
import time:       930 |       3538 |       enum
import time:        36 |         36 |         _sre
import time:       287 |        287 |           re._constants
import time:       386 |        673 |         re._parser
import time:       269 |        269 |         re._casefix
import time:       403 |       1379 |       re._compiler
import time:       189 |        189 |       copyreg
import time:       443 |       5547 |     re
import time:       610 |       6156 |   sitecustomize
import time:      1027 |       9167 | site
import time:       214 |        214 |   __future__
import time:       263 |        263 |     fnmatch
import time:        49 |         49 |       _winapi
import time:        97 |         97 |       nt
import time:        42 |         42 |       nt
import time:        40 |         40 |       nt
import time:        39 |         39 |       nt
import time:        38 |         38 |       nt
import time:        39 |         39 |       nt
import time:        56 |        397 |     ntpath
import time:       482 |        482 |     warnings
import time:        33 |         33 |     errno
import time:       225 |        225 |       urllib
import time:      1260 |       1260 |       math
import time:      1476 |       1476 |       ipaddress
import time:      1386 |       4345 |     urllib.parse
import time:       675 |       6192 |   pathlib
import time:       302 |        302 |     collections.abc
import time:       576 |        576 |     contextlib
import time:        23 |         23 |     _typing
import time:      1844 |       2743 |   typing
import time:       474 |        474 |       numpy.version
import time:      1036 |       1036 |       numpy._expired_attrs_2_0
import time:       242 |        242 |           numpy._utils._convertions
import time:      1074 |       1316 |         numpy._utils
import time:       500 |       1815 |       numpy._globals
import time:        23 |         23 |         numpy._distributor_init_local
import time:       215 |        237 |       numpy._distributor_init
import time:       388 |        388 |                   _datetime
import time:       214 |        601 |                 datetime
import time:       342 |        342 |                 numpy.exceptions
import time:       377 |        377 |                 numpy._core._exceptions
import time:       493 |        493 |                     _contextvars
import time:       195 |        687 |                   contextvars
import time:       371 |       1057 |                 numpy._core.printoptions
import time:       242 |        242 |                 numpy.dtypes
import time:      7754 |      10371 |               numpy._core._multiarray_umath
import time:       113 |        113 |                 numpy._utils._inspect
import time:       353 |        465 |               numpy._core.overrides
import time:       987 |      11822 |             numpy._core.multiarray
import time:       291 |        291 |             numpy._core.umath
import time:       369 |        369 |               numbers
import time:       233 |        233 |               numpy._core._dtype
import time:       191 |        191 |               numpy._core._string_helpers
import time:      1013 |       1013 |               numpy._core._type_aliases
import time:       368 |       2173 |             numpy._core.numerictypes
import time:       318 |        318 |               numpy._core._ufunc_config
import time:       408 |        408 |                       _struct
import time:       216 |        623 |                     struct
import time:       359 |        359 |                     _compat_pickle
import time:       446 |        446 |                     _pickle
import time:       705 |       2131 |                   pickle
import time:       254 |       2385 |                 numpy._core._methods
import time:      1005 |       3389 |               numpy._core.fromnumeric
import time:       269 |       3975 |             numpy._core._machar
import time:       334 |        334 |                 numpy._core.shape_base
import time:       226 |        226 |                 numpy._core._asarray
import time:       553 |        553 |                 numpy._core.arrayprint
import time:       595 |       1706 |               numpy._core.numeric
import time:       387 |       2093 |             numpy._core.einsumfunc
import time:       243 |        243 |             numpy._core.function_base
import time:       326 |        326 |             numpy._core.getlimits
import time:       323 |        323 |             numpy._core.memmap
import time:       325 |        325 |             numpy._core.records
import time:       897 |        897 |             numpy._core._add_newdocs
import time:       409 |        409 |             numpy._core._add_newdocs_scalars
import time:       261 |        261 |             numpy._core._dtype_ctypes
import time:       698 |        698 |                 _ast
import time:       896 |       1593 |               ast
import time:       915 |        915 |                 _ctypes
import time:       328 |        328 |                 ctypes._endian
import time:       693 |       1935 |               ctypes
import time:       566 |       4094 |             numpy._core._internal
import time:       268 |        268 |             numpy._pytesttester
import time:       409 |      27903 |           numpy._core
import time:        14 |      27916 |         numpy._core._multiarray_umath
import time:       542 |      28458 |       numpy.__config__
import time:       278 |        278 |                         numpy._typing._nbit_base
import time:       255 |        255 |                         numpy._typing._nested_sequence
import time:       553 |        553 |                         numpy._typing._shape
import time:      1787 |       2872 |                       numpy._typing._array_like
import time:      1091 |       1091 |                       numpy._typing._char_codes
import time:       955 |        955 |                       numpy._typing._dtype_like
import time:       128 |        128 |                       numpy._typing._nbit
import time:        94 |         94 |                       numpy._typing._scalars
import time:        82 |         82 |                       numpy._typing._ufunc
import time:       341 |       5559 |                     numpy._typing
